experiment,task,duo_n_runs,duo_max_mean,duo_max_std,duo_nmax_mean,duo_nmax_std,gtg_n_runs,gtg_max_mean,gtg_max_std,gtg_nmax_mean,gtg_nmax_std,duo_mfull_n_runs,duo_mfull_max_mean,duo_mfull_max_std,duo_mfull_nmax_mean,duo_mfull_nmax_std,duo_mfull_text_n_runs,duo_mfull_text_max_mean,duo_mfull_text_max_std,duo_mfull_text_nmax_mean,duo_mfull_text_nmax_std,duo_st_text_n_runs,duo_st_text_max_mean,duo_st_text_max_std,duo_st_text_nmax_mean,duo_st_text_nmax_std
multi_task/gtopx2_gtopx3_gtopx4_gtopx6_frac1.0_sigma0.0/1000x64_k20_eps0.05_ret,gtopx4,5,-77.142,7.48,1.0,0.0,,,,,,5,-63.167,13.669,1.0,0.0,8,-57.54,14.848,1.0,0.0,5,-67.212,11.006,1.0,0.0
multi_task/gtopx2_gtopx3_gtopx4_gtopx6_frac1.0_sigma0.0/1000x64_k20_eps0.05_ret,gtopx6,5,-55.323,6.019,1.0,0.0,,,,,,5,-61.664,10.439,1.0,0.0,8,-35.646,12.122,1.0,0.0,5,-58.092,2.617,1.0,0.0
multi_task/tfbind10_tfbind8_frac1.0_sigma0.0/1000x64_k50_eps0.05,tfbind8,5,0.973,0.009,0.973,0.009,,,,,,5,0.724,0.073,0.724,0.073,8,0.958,0.019,0.958,0.019,5,0.952,0.038,0.952,0.038
multi_task/tfbind10_tfbind8_frac1.0_sigma0.0/1000x64_k50_eps0.05,tfbind10,5,0.626,0.131,0.623,0.033,,,,,,5,0.632,0.171,0.625,0.043,8,0.742,0.08,0.652,0.02,5,0.787,0.076,0.663,0.019
multi_task/tfbind10_tfbind8_frac1.0_sigma0.0/1000x64_k50_eps0.05_ret,tfbind8,5,0.974,0.006,0.974,0.006,,,,,,5,0.724,0.073,0.724,0.073,8,0.958,0.019,0.958,0.019,5,0.952,0.038,0.952,0.038
multi_task/tfbind10_tfbind8_frac1.0_sigma0.0/1000x64_k50_eps0.05_ret,tfbind10,5,0.661,0.19,0.632,0.048,,,,,,5,0.632,0.171,0.625,0.043,8,0.742,0.08,0.652,0.02,5,0.787,0.076,0.663,0.019
random_diffusion_full_mt,ant,8,432.433,33.982,0.838,0.035,,,,,,5,565.699,8.628,0.975,0.009,8,567.907,6.584,0.977,0.007,5,490.691,17.299,0.898,0.018
random_diffusion_full_mt,dkitty,8,197.592,31.307,0.883,0.026,,,,,,5,300.777,13.149,0.967,0.011,8,313.148,3.56,0.977,0.003,5,252.83,10.977,0.928,0.009
random_diffusion_full_mt,superconductor,8,70.478,4.864,0.381,0.026,,,,,,5,100.741,12.287,0.545,0.066,8,112.23,8.1,0.607,0.044,5,76.99,3.889,0.416,0.021
random_diffusion_full_mt,tfbind8,8,0.799,0.093,0.799,0.093,,,,,,5,0.724,0.073,0.724,0.073,8,0.958,0.019,0.958,0.019,5,0.952,0.038,0.952,0.038
random_diffusion_full_mt,tfbind10,8,0.702,0.072,0.642,0.018,,,,,,5,0.632,0.171,0.625,0.043,8,0.742,0.08,0.652,0.02,5,0.787,0.076,0.663,0.019
random_diffusion_full_mt,gtopx2,8,-87.738,13.792,1.0,0.0,,,,,,5,-110.869,13.664,1.0,0.0,8,-60.605,30.966,1.0,0.0,5,-75.231,20.343,1.0,0.0
random_diffusion_full_mt,gtopx3,8,-58.112,20.43,1.0,0.0,,,,,,5,-51.175,14.311,1.0,0.0,8,-29.31,2.237,1.0,0.0,5,-51.9,13.122,1.0,0.0
